UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Minas Gerais;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5222524;4507668.723648;863.1204299999999
Minas Gerais;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4176;3603.08523;862.80525
Minas Gerais;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;795;676.0821119999999;850.418676
Mato Grosso do Sul;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20000;16889.466612;844.47228
Bahia;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;144206;121001.8044;839.0932079999999
Maranhão;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;132008;109379.32127399999;828.576702
Mato Grosso do Sul;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;174173;142034.721846;815.47572
Mato Grosso do Sul;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;69632;55768.012235999995;800.8933920000001
Mato Grosso do Sul;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;136000;107653.752798;791.57457
Maranhão;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;380527;300034.623942;788.4753
Mato Grosso;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;678;521.980104;769.890186
Minas Gerais;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3939456;2959673.8993559997;751.294566
Mato Grosso do Sul;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20000;14789.296199999999;739.46481
Mato Grosso do Sul;2021;Pinus;1.1 - Carvão vegetal;Madeira para combustível;5592;4123.626012;737.4161399999999
Minas Gerais;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4218066;3105145.627584;736.15542
Minas Gerais;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4464782;3252014.84292;728.370474
Bahia;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;157848;114520.253772;725.5128420000001
Mato Grosso do Sul;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;167416;121272.775152;724.378194
Espírito Santo;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;30750;22213.949436000003;722.403066
Paraná;2019;Pinus;1.1 - Carvão vegetal;Madeira para combustível;500;358.695852;717.381198
Bahia;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;135041;96656.54476799999;715.752768
Paraná;2018;Pinus;1.1 - Carvão vegetal;Madeira para combustível;520;371.933412;715.2589859999999
Mato Grosso do Sul;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;183603;131038.743018;713.704098
